No,Area,Cabang,Kode,Nama Toko,Jenis Toko,Alamat,Hotel VASA (Ya/Tidak),Hotel IBIS Budget (Ya/Tidak),cadangan ke … (hanya untuk toko cadangan),Kadiv Mitra 10,Jumlah orang,Nama Undangan,Meja VIP,Keterangan
1,4,JOGJA,15A02010100,"CATUR MITRA SEJATI SENTOSA, PT",MTO,JOGJA,Tidak,Ya,,1,1,ARFAN,,
2,4,MAGELANG,14G05010014,LUWES,TRO,A.YANI 103,Ya,Tidak,,,2,LILY ,,
3,4,PEKALONGAN,14C01090004,DHARMA RAYA,TRO,PAHLAWAN GEIK,Ya,Tidak,,,2,FAUZIAH HANI / DARMAWAN,,
4,4,PEKALONGAN,14C02040005,JADI UTAMA,TRO,PERHUTANI KIOS NO 1 PASAR BANDAR,Ya,Tidak,,,2,MARTININGSIH BAMBANG,,
5,4,PURWOKERTO,14B01010070,"KARANGTURI MANDIRI, CV",TRO,KOM BB SUPRAPTO 18,Ya,Tidak,,,2,SUGENG PRAYITNO,,
6,4,PURWOKERTO,14B01190011,"PELITA SATRIA PERKASA, PT ",MTO, MENTERI SOEPENO 3 BANYUMAS,Ya,Tidak,,,2,IFU & MEI LIN,,
7,4,PURWOREJO,14E03010023,"SAMI JAYA,CV ",MTO,"SUPRAPTO 20 RT.07 RW 03, KEBUMEN",Ya,Tidak,,,2,FRANSISKA,,
8,4,PURWOREJO,14E03010049,"SUMBER BANGUNAN, CV",TRO,"LENJEND SUPRAPTO 65A BUMIREJO, KEBUMEN",Ya,Tidak,,,2,ROY SAYOGA S,,
9,4,SEMARANG,14F01030024,"WIDA UTAMA, PT ",MTO,MT. HARYONO 521 SEMARANG,Ya,Tidak,,,2,LILIK WINARNI & SANTI,,
10,4,SEMARANG,14F01090012,"ASAYA JAYA BERSAMA SEJAHTERA, PT ",MTO,"MAJAPAHIT  256-258, KALICARI PEDURUNGAN, SEMARANG",Ya,Tidak,,,2,VIANITA & FARIS ,,(Pak Faris tanpa klaim transport & hotel)
11,4,SEMARANG,14F02010068,LASIJO,TRO,"JL MERDEKA (RUKO SEBELAH PEMANCINGAN), UNGARAN",Ya,Tidak,,,2,TITUS,,
12,4,SUKOHARJO,14J01030005,"KOTA BARU INDAH, CV ",MTO,"JL. MAYOR SUNARYO NO. 47 RT. 002 RW. 002, KLATEN",Ya,Tidak,,,2,TJANDRA AGUS BUDIMAN,,
13,4,TEGAL,14A02090019,MOHAMAD BARID,TRO,DIPONEGORO 16,Ya,Tidak,,,2,ADHE FIRMAN FIRDAUS,,
14,4,YOGYAKARTA BARAT,15A04020047,"AZIDAR MAKMUR RAYA, CV ",TRO,SOROGENEN,Ya,Tidak,,,2,SITI ENDARWATI W,,
15,4,YOGYAKARTA TIMUR,15B01050093,"MULIA JAYA, CV ",MTO,"RAYA TAJEM, SLEMAN",Ya,Tidak,,,2,JING,,
16,4,YOGYAKARTA TIMUR,15B02060033,SURATMAN,TRO,TIMUR PROLIMAN BALEHARJO KM 1,Ya,Tidak,,,2,SUWARSIH WARSONO S,,
17,4,YOGYAKARTA TIMUR,15B03060001,"BANGUNAN JAYA MANDIRI, PT ",MTO,"RAYA JANTI RINGROAD TIMUR 96 KANOMAN, JOGJA",Ya,Tidak,,,2,HENKY,,
18,5,BANYUWANGI,16I01010020,SOEJONO,TRO,DIPONEGORO 39 (SEBELAH APOTIK DIPONEGORO),Ya,Tidak,,,2,DHARMA GUNAWAN,,
19,5,BANYUWANGI,16I01080004,SUMBER REJEKI,TRO,RAYA ASEMBAGUS,Ya,Tidak,,,2,HENGKY BUDIANTO WIJAYA,,
20,5,JEMBER,16H01020015,SURYA NAGA (SAMPURNA HADI),MTO,LETJEN S. PARMAN 91,Ya,Tidak,,,2,SAMPURAN HADI,,
21,5,JEMBER,16H01050008,"RAJAWALI PUTRA, CV ",MTO,DHARMAWANGSA 145,Ya,Tidak,,,2,HADI GEMPA,,
22,5,JEMBER,16H01160001,DUTA KERAMIK,TRO,KARTINI 5,Ya,Tidak,,,2,RUDY PURNOMO SUDARMAN,,
23,5,JEMBER,16H01190005,JAYA SENTOSA (SUHARTONO),TRO,RAYA SUYITMAN 38,Ya,Tidak,,,2,SUHARTONO SUBAGIO,,
24,5,JOMBANG,16L01010002,SELAMET,TRO,"DSN. REJOSARI, DS. TINGGAR,",Tidak,Tidak,,,2,NANANG HARI,,
25,5,JOMBANG,16L01020001,DADI MULYO,TRO,DR. SUTOMO 58,Tidak,Tidak,,,2,ALI,,
26,5,JOMBANG,16L01030010,LANCAR,TRO,M. YAMIN 28,Tidak,Tidak,,,2,KHOIRUL,,
27,5,JOMBANG,16L01030012,"MAJU BERSAMA, UD ",TRO,SELATAN POLSEK DIWEK-KWARON,Tidak,Tidak,,,2,SUBAGIO,,
28,5,JOMBANG,16L01030015,PUTRA JAYA,TRO,RAYA CUKIR MOJOWARNO,Tidak,Tidak,,,2,HARIS,,
29,5,JOMBANG,16L01030016,"SARI ALAM MULIA, UD ",TRO,RAYA CEWENG (PERTIGAAN),Tidak,Tidak,,,2,ARDAN,,
30,5,JOMBANG,16L01040009,"MURAH ABADI, CV ",TRO,DSN BLIMBING,Tidak,Tidak,,,2,JONATAN,,
31,5,JOMBANG,16L01040012,SANTOSO (HOK),TRO,RAYA BLIMBING 52,Tidak,Tidak,,,2,SRI WAHYUNI,,
32,5,JOMBANG,16L01060014,"GARUDA MAS, UD ",TRO,MERDEKA 123,Tidak,Tidak,,,2,MELINDA,,
33,5,JOMBANG,16L01060027,PODO MAPAN,TRO,MERDEKA 102,Tidak,Tidak,,,2,MEME,,
34,5,JOMBANG,16L01060042,SINAR MAS,TRO,MERDEKA 39,Tidak,Tidak,,,2,YOHANA,,
35,5,JOMBANG,16L01110004,"BIMA PUTRA, UD ",TRO,RAYA MOJOROTO (DEPAN SDN MOJOROTO),Tidak,Tidak,,,2,MUJIB,,
36,5,JOMBANG,16L01110006,HALIMI,TRO,RAYA 159,Tidak,Tidak,,,2,HANI,,
37,5,JOMBANG,16L01120010,"SINAR ALAM, UD ",TRO,RAYA MOJAWARNO PERTIGAAN BONGSO,Tidak,Tidak,,,2,IKA,,
38,5,JOMBANG,16L01130007,OKTA MANDIRI,TRO,BROMO 19,Tidak,Tidak,,,2,LINDAWATI,,
39,5,JOMBANG,16L01130015,PUTRA SANTOSO,TRO,SUROPATI 18,Tidak,Tidak,,,2,ANDI,,
40,5,JOMBANG,16L01150001,AGUNG LESTARI 2,TRO,TEMOWULAN (RAYA NGRANDU-PERAK 6),Tidak,Tidak,,,2,KHOIRUL,,
41,5,JOMBANG,16L01150002,ALKAUTSAR,TRO,DS. SUMBER AGUNG (POM BENSIN PERAK KE SELATAN),Tidak,Tidak,,,2,SANDOKO,,
42,5,JOMBANG,16L01150010,"LUMINTU, JUWET",TRO,GLAGAHAN,Tidak,Tidak,,,2,EKO,,
43,5,JOMBANG,16L01160010,"SUMBER URIP, UD ",TRO,RAYA PETERONGAN 104,Tidak,Tidak,,,2,AFUK,,
44,5,JOMBANG,16L01180001,"AN, UD ",TRO,P. SUDIRMAN,Tidak,Tidak,,,2,ANI,,
45,5,JOMBANG,16L01190001,ABC,TRO,MUKA STASIUN SUMOBITO 475,Tidak,Tidak,,,2,LIA,,
46,5,JOMBANG,16L01210001,HARAPAN BARU,TRO,RAYA KANDANGAN-WONOSALAM KM-7,Tidak,Tidak,,,2,KETUT,,
47,5,JOMBANG,16L02010027,SUMBER SARI,TRO,PAHLAWAN 15,Tidak,Tidak,,,2,ROY,,
48,5,JOMBANG,16L02020003,HASIL JAYA MAKMUR,TRO,DSN. BALONGKRAI,Tidak,Tidak,,,2,SUHANADI,,
49,5,JOMBANG,16L02020009,RATNA JAYA P,TRO,PRAJURIT KULON 64,Tidak,Tidak,,,2,JUSUF OKARI,,
50,5,JOMBANG,16L02020010,SINAR ALAM,TRO,"SUROMULANG RAYA 29-31, PERUM SURODINAWAN",Tidak,Tidak,,,2,ABDULLAH,,
51,5,JOMBANG,16L02030003,"H. IM, UD ",TRO,RAYA PACING (PINGGIR MASJID),Tidak,Tidak,,,2,LUNA,,
52,5,JOMBANG,16L02030010,"PUTRA JAYA, UD ",TRO,DS. NGUMPAK,Tidak,Tidak,,,2,SUGIANTO,,
